id,sender,message_body,category
54,AMAZON,Your order #AMZ12345 shipped. Tracking: 1Z999AA10123456784. ₹299 delivery soon.,promotion
55,IXIGO,Your train ticket booked. PNR XZ1234. PT: 22:45 today.,service
56,HDFCBK,"₹1,999 charged at Merchant X on 07/11. If not you, call HDFC fraud helpline now.",banking
57,MYNTRA,Flash sale! Extra 20% off with code MYNTRAFRESH. Ends tonight.,promotion
58,10XXXXXXX91,"Hey, got milk tea later? msg pls reply.",personal
59,OTPSMS,Your OTP is 912847. Keep it secret. Exp 3 mins.,otp
60,ZOMATO,Your order #ZOM321 is delivered. Enjoy your meal! ₹0.00 delivery fee applied.,service
61,AXISBK,"Dear user, your OTP for login is 714592. Do not share it. Exp: 10 min.",otp
62,SBIALERT,"Your account balance is Rs. 8,450.70 as of today. To view details, login to mobile app.",banking
63,ZOMATO,Hi! Your order  #ZMT12345 is confirmed. ETA 20 mins. Enjoy your meal!,promotion
64,10-digit 91-9876543210,"Hey yaar, pls check msg? I reached home 5 mins ago. Call me.",personal
65,VERIFY,OTP 492873 for your PayTM login. Valid for 5 mins. Never share.,otp
66,HDFCBK,"Your card payment of Rs. 1,299.00 at AIRFRESH was approved. Ref: 483920.",banking
67,SWIGGY,Order placed! Order ID: SWG98765. Delivery by 45 mins. Bon appétit.,promotion
68,ICICIBK,"Alert: Your account was used from a new device. If not you, call 1800-425-3349.",banking
69,OLACABS,Ride booked: Ola ride 1298. ETA 12 mins. Fare Rs. 210.,service
70,UTIBANK,Hi! Your KYC update is needed. Visit nearest branch or do it online.,service
71,MYNTRA,FLASH SALE! Up to 60% off on fashion. Use code WINTER21. Ends soon.,promotion
72,OTP,Your OTP 836492 for login to Amazon.in app. Expires in 3 mins.,otp
73,GOIBIBO,Flight not found? Rescheduled to 16:45 today. Check your email for details.,service
74,KOTAKBK,"Your transaction of Rs. 2,500.00 to Flipkart is successful. Ref: FLP-8521.",banking
75,ZOMATO,New restaurant near you! Order now and get Rs. 120 off on your first order.,promotion
76,VERIFY,OTP 719384 for your Vodafone idea recharge. Valid 7 mins.,otp
77,INDUSIND,Welcome! Your monthly bill of Rs. 899 is due on 12 Nov. Please pay to avoid service interruption.,service
78,ULAJACK,"Hey, ur package is out for delivery today. Tracking 1Z9999. Expect by evening.",personal
79,AMAZON,Prime member deal: Save up to Rs. 1000 on select electronics. Shop now.,promotion
80,SBIA,Limited time offer: Get 50% off on groceries. Use code SB50 at checkout.,promotion
81,AXISBK,Your OTP is 438512 for your AXIS account. Do not share it. Valid for 10 min.,otp
82,HDFCBK,"Your loan EMI of ₹12,340 due on 12/11. Pay via HDFC Digi. Thanks.",banking
83,ZOMATO,Order #Z12345 is now on its way. ETA 25 mins. Enjoy your meal! 🍜,promotion
84,Myntra,Your order 9876543 is confirmed. Ship by 2-3 days. Free delivery today.,promotion
85,ICICIBK,OTP 276498 for ICICI login. Ignore if not you. Window: 5 min.,otp
86,KOTAKBK,"Rs. 1,299 debited from your account on 10/11. Balance: ₹8,342.",banking
87,SWIGGY,Order #S789012 placed. Delivery by 45 mins. Track here: swg.ly/track,promotion
88,GOIBIBO,Your flight 8B234 is confirmed. PNR: YR56X. Itinerary updated.,service
89,9xxxx888888,"Hey yaar, long time! wanna catch up this weekend? 😊",personal
90,VERIFY,Your OTP code 543210 for verification. Do not share with anyone.,otp
91,UBER,"Your ride is arriving shortly. Driver: Raj, Car: Swift. ETA 4 mins.",service
92,PAYTM,₹450 cashback credited to your Paytm wallet. Use code CASHBACK to redeem.,promotion
93,SBIALERT,"Alert: Your savings interest posted today. New balance ₹7,450.90.",banking
94,AIRINDIA,Your flight update: On-time departure. Check-in gate 22. Boarding pass on app.,service
95,OLACABS,Promo: Flat ₹150 off on rides above ₹800 today only. Use code RIDEAI.,promotion
96,VERIFY,OTP 892304 for your account. Valid for 10 minutes.,otp
97,AIRTEL,"Your prepaid recharge of ₹199 successful. Plan: 1.5GB/day, valid 28 days.",banking
98,ICICIBK,Reminder: Your card will expire in 120 days. Update details to prevent deactivation.,service
99,MADRID,Special offer: buy 2 get 1 free on select items. Ends today.,promotion
100,MYNTRA,Item shipped: jacket order 112233. Tracking: MT12345. Expected delivery soon.,promotion
101,AXISBK,Your OTP for online login is 384920. Do not share with anyone. Exp: 2 mins. ₹50 cash back on min ₹299 using code WELCOME.,otp
102,SBIALERT,"Your account balance is ₹12,340.55. Last transaction - ATM withdrawal ₹2,000 on 07/11. For queries call 1800-xxx-000.",banking
103,ZOMATO,Order #OD123456 confirmed. delivery by 45 mins. Pay ₹199 upfront. Use code ZMLOVE for 20% off.,promotion
104,VERIFY,OTP: 527489 for your Paytm login. Do not share. 🛡️ Valid 10 mins.,otp
105,10DIGIMAL,Hi! Your package is out for delivery. Tracking: PKG2024119. ETA 2-3 hrs.,service
106,ICICIBK,"Alert: ₹2,450 spent at AMAZON. Balance ₹9,600. Advise if not you. Ref: XMZ12345.",banking
107,PROMO_ALERT,Limited time: Flat 15% off on Swiggy orders above ₹299. Use code SWIGGY15. T&Cs apply.,promotion
108,UTIBANK,OTP reminder: 221133 for your online banking session. Do not share with anyone.,otp
109,GOIBIBO,"Your flight PSG-LKO is confirmed. PNR AB1234. Total ₹7,999. E-ticket sent to email.",service
110,PERSONAL,"Hey yaar, lunch tomorrow? Let's catch up at 1 PM near market. 😊",personal
111,MYNTRA,"₹1,299 boots on sale. Free shipping today only. Grab before it sells out!",promotion
112,OTPSMS,Your verification code is 763291 for login. Valid for 5 minutes.,otp
113,KOTAKBK,"Monthly statement ready. ₹5,980. Avg balance ₹3,420. See details in app.",banking
114,SPAM,"Congrats! You've won ₹50,000. Click suspicious.link to claim now.",spam
115,UBER,Driver is arriving in 5 mins. ETA 3 mins at your pickup. Fare ₹120.,service
116,Amazon,Your order #AMZ98765 dispatched. Delivery by 4 PM. Total ₹799. Thanks for shopping with us.,promotion
117,SWIGGY,Thanks for ordering. Your order #SWG-00021 is out for delivery. ₹210 payable on delivery.,promotion
118,INDPST,Reminder: subscription renewal in 3 days. ₹199 will be deducted. Manage in app.,service
119,OTP-SMS,Your OTP 492683 is valid for 10 minutes. Do not share with anyone.,otp
120,9X9TECH,"Hi, your online payment of ₹3,150 to Flipkart was successful. Ref: FLPK1245.",banking
121,AXISBK,Your OTP is 482910 for Axis Bank login. Do not share it. ⏳,otp
122,ZOMATO,Order #Z12345 confirmed. Estimated delivery 45 mins.₹299 included. Thanks for dinin with us 🍛,promotion
123,SBIALERT,"Your balance is Rs. 8,420.50. Last 4 digits 7890. Visit SBIA app to view more.",banking
124,GOIBIBO,"Your flight  ₹3,450 to BLR on IXIGO booked. Itinerary 7B2-XY9. Check-in opens 24h before departure.",service
125,VERIFY,OTP 764321 for your login on Amazon.in. OTP valid for 5 mins.,otp
126,MYNTRA,Flat 15% off on your order. Use code DFW15CMS. Valid till midnight. ₹150 off on min ₹999.,promotion
127,HDFCBK,"Debit of Rs. 1,240.00 at VENUS STORE on 02/11. If not you, report fraud immediately.",banking
128,91-9876543210,"Hey yaar, long time! Bolo kitaab kiya? 😅",personal
129,OTPSMS,Your OTP is 593218 for secure login. Do not share with anyone.,otp
130,SWIGGY,Delivery: Your order #SWG-8901 is on its way. ETA 25 mins. ₹320 cashless received.,promotion
131,AXISBK,"Alert: ₹2,650 spent at Reliance Fresh on 03/11. If not you, call 1800-AXISBK.",banking
132,UBER,Your ride is nearby. Driver Aman will pick you in 5 mins. ETA 6 mins.,service
133,9X9-FAST,Suspicious login attempt detected from new device. Please verify your account.,spam
134,KOTAKBK,"Payment of ₹2,999 approved. Ref: KTK-45912. Thanks for banking with us.",banking
135,ZOMATO,Chef’s special: Butter chicken + naan combo ₹349. Order soon!,promotion
136,INDIAMART,Your inquiry has new updates. Seller responded in 2 min.,service
137,ICICIBK,"Your card was charged ₹4999 at AMAZON on 04/11. If unauthorized, block card now.",banking
138,UTKARSH,"Bro, chk out this sale on Flipkart: upto 60% off. Ends today.",promotion
139,GOIBIBO,Your flight ticket is confirmed. PNR AB1234. Boarding pass will be sent soon.,service
140,69-8001-XXXX,"Free MSG: You won ₹10,000 in a lucky draw. Reply YES to claim now.",spam
141,VERIFY,Your OTP is 483920 for your Xyz Bank login. Do not share it. Valid for 10 mins.,otp
142,AXISBK,"Dear customer, ₹2,450 withdrawn at ATOM in Mumbai. If not you, call 1800-xxx-xxxx.",banking
143,ZOMATO,Order #Z12345 confirmed. Estimated delivery by 8:15 PM. Rs. 899.00 total.,promotion
144,10-digit 9123456789,"Hey yaar, long time! Miss u. U free this weekend to catch up over chai? 😊",personal
145,KOTAKBK,"Alert: ₹12,500 credited to your account on 07/11. Ref: KB98765. Namaste!",banking
146,OTPSMS,OTP 728294 for your login to Paytm. Do not share with anyone.,otp
147,SWIGGY,"Your order #SG202411 is out for delivery. ₹180 delivery, ₹1,320 food total.",promotion
148,GOIBIBO,"Flight booked! PNR: GYUI12, ₹8,499. Thanks for choosing Goibibo.",service
149,INDIACRL,Reminder: your parcel will arrive between 6-7 PM today. Tracking: IN123456789,service
150,HDFCBK,"₹3,200 debited for POS purchase at Market Street, Mumbai. Balance: ₹15,400.",banking
151,AMAZON,Your order #AMZ-6578 has shipped. Tracking: 1Z999AA10123456784,promotion
152,VERIFY,Use code 492810 to complete your transaction. Valid for 15 mins.,otp
153,ICICIBK,"Salary credited: ₹45,000 for Nov. Ref: ICICINR7456.",banking
154,UBER,Your ride is here. Driver Sanjay will pick you up in 5 mins.,personal
155,MYNTRA,Flash sale: up to 70% off. Use code DEAL70. Rs. 999 onwards.,promotion
156,SPAMMER-01,"Congratulations! You’ve won Rs. 50,000 in our lucky draw. Click here to claim.",spam
157,IXIGO,Train delay alert: 2 hrs; New platform 5. Bookings adjusted. App update available.,service
158,PAYTM,"Your wallet top-up of ₹1,200 was successful. Ref: PTX012345.",banking
159,13-digit 9876543210,"Hey bro, dinner at 8? I’ll bring dessert. You in?",personal
160,OTP,Your OTP 572041 for WhatsApp verification. Do not share with anyone.,otp
161,AXISBK,Your OTP is 482910 for secure login. Do not share it with anyone. Exp: 2 mins.,otp
162,HDFCBK,"Rs. 2,450 debited from your A/c ending 1234. Balance ₹6,500.52. Ref: HDFB-9876.",banking
163,ZOMATO,Your order #ZMT123456 is confirmed. ETA 25 mins. Thanks for choosing Zomato!,promotion
164,UBER,"Your ride is reserved. Driver Ola Khan on the way. Vehicle: Swift, Reg: DL7AB1234.",service
165,VERIFY,OTP 573822 for your Amazon login is valid for 10 mins. Do not share.,otp
166,SWIGGY,Hi! ₹150 off on your next order. Use code SWIG15. Valid till 31 Dec.,promotion
167,GOIBIBO,Flight booked. PNR: GY7K2Q. E-ticket sent to your email.,service
168,ICICIBK,"₹1,200 credit added to your wallet. Ref: ICIC-WALLET-321.",banking
169,10digit9876,"Hey yaar, missing your call yaar. Weekend plan? msg back.",personal
170,KOTAKBK,"Fraud alert: Unusual charges detected. If this isn’t you, block now.",spam
171,AMAZON,Your order #AMZ98765 shipped. Tracking: 1Z999AA10123456784.,promotion
172,MBANK,"Payment of ₹2,999 received via card on 04 Nov. Ref: PMT-4492.",banking
173,OTPSMS,Your code is 831029. Valid for 5 minutes. Do not share.,otp
174,MYNTRA,New collection drop! Free shipping on orders above ₹799 till midnight.,promotion
175,INDUSBK,"Your weekly summary: Credits ₹3,200, Debits ₹1,140. Net ₹2,060.",banking
176,PERSONAL,Chalo coffee after work? I miss our chats. 😄,personal
177,ZIV,Promo: Buy 1 get 1 on select items. Ends today.,promotion
178,OLACABS,"Car booked for 9:00 PM. Driver Piyush RK on pickup. Vehicle: Dzire, Plate: DL8C1234.",service
179,SBIALERT,"Your account cheque clear. Rs. 12,540 on 05 Nov. Balance ₹87,420.",banking
180,IRCTC,Ticket booked: PNR 9S2B4. Itinerary: Delhi-MJA. E-ticket sent to your email.,service
181,AXISBK,Your OTP for login is 274109. Do not share it. 5 min validity.,otp
182,HDFCBK,"Rs. 2,450 debited from your A/c ending 1234 on 08/11. Ref 54021.",banking
183,ZOMATO,Your order #Z12345 is confirmed. ETA 25 mins. Track: zoma.in/track,promotion
184,VERIFY,OTP: 987654 for your login at PayLater. Do not share with anyone.,otp
185,SWIGGY,₹150 off on your next order. Use code WELCOME. exp 12Nov.,promotion
186,ICICIBK,"Alert: Your account access from new device flagged. If this wasn’t you, contact 1800- etc.",banking
187,9XXXXXXXXX,"Hey yaar, long time! Kab mil rahe ho? Catch up soon. 😊",personal
188,KOTAKBK,"Your statement is ready. Month: Oct, Balance: Rs. 8,420.50. Ref: STMT1234",banking
189,Myntra,"Delivery for order #M123456 is on the way. ETA 14:20, rider nearby.",promotion
190,OTPSMS,Your OTP 560421 is valid for 5 mins. Do not share.,otp
191,GOIBIBO,"Your flight is booked: IX123, Delhi to Mumbai. PNR: ABCD123",service
192,UPI,Rs. 3000 paid to JioMart via UPI. Ref: UPI-ALGO-77,banking
193,TEMPOST,Your password reset code is 443322. Ignore if not you.,service
194,Amazon,Your package #A0123 is out for delivery. ETA 6 PM today.,promotion
195,9XXXXXXXXX,Ur order has been canceled. Refund Rs. 499 pending to your wallet.,spam
196,OLACABS,Driver on the way. Car no KA-01-AB-1234. ETD 10 mins.,service
197,AIRBNB,"Your booking is confirmed. Stay: Delhi, 3 nights. Itn: 2143. Check-in 14:00.",service
198,PAYTM,Promo: Rs. 100 cashback on wallet top-up. Use code CASH100.,promotion
199,UBER,Ride completed. Fare Rs. 128.50. Driver Iqbal. Thanks for riding with us.,personal
200,SBIALERT,"Your monthly credit limit is updated. Total available: Rs. 12,000.",banking
201,AXISBK,Your OTP is 457821 for AXISBK login. Do not share it. Valid for 10 mins.,otp
202,SBIALERT,"Your account balance is Rs. 4,560.75. Last txn: -₹1200 POS at MIDC. ID: SBX202509.",banking
203,ZOMATO,Hi there! Your order #ZMN12345 is confirmed. ETA 30 mins. ₹299. refund if delays.,promotion
204,VERIFY,OTP: 392104 for your login to Myntra. Do not share with anyone.,otp
205,ICICIBK,"Your card has been debited by Rs. 1,200 at SHOPPERS for groceries. Ref: 987654.",banking
206,PERSONAL,Ur package from Flipkart is out for delivery today. Track: FLX9876. Msg received.,personal
207,SWIGGY,Order #SWG-8899 placed. ETA 25 mins. Total ₹450.00. Thanks for choosing SWIGGY.,promotion
208,UTER,Kinda spammy: Ur account flagged for unusual activity. Please verify at the link. Stay safe.,spam
209,KOTAKBK,Your OTP is 763210 for KOTAKBK online banking. Code expires in 5 mins.,otp
210,MAKEMYT,Service alert: Your flight 9W-2021 is delayed by 1h. Gate 12. Checkin at 22:00.,service
211,AMAZON,"Your order #AMZ-45231 shipped. Tracking 1Z999AA10123456784. Delivery by today ₹1,299.",promotion
212,HDFCBK,Mobile recharge successful. Rs. 199. Ref: HDFC-REC-021. Thanks for banking with us.,banking
213,OTP24,Your verification code is 824561 for login. Do not share.,otp
214,ICICIBK,Promo: Get 10% off on groceries. Max ₹1500. Use code SAVE10. Ends soon.,promotion
215,GOIBIBO,"Your travel booking for DEL-BLR is confirmed. PNR: GOB1234. Amount ₹3,350.",service
216,Myntra,Flash sale! Upto 60% off on clothes. Ends in 2 hours. Use code MNTRA60.,promotion
217,9x9-SMS,"You have won a draw. Claim now with code WN-2025. This is a scam message, ignore if unsure.",spam
218,UBER,Your ride is arriving at your pickup. Driver Rajesh. Vehicle ABC-1234. ETA 5 mins.,personal
219,OLACABS,Your ride is ready. OTP for ride check-in: 532468.,otp
220,PAYTM,Payment of ₹520 received for Bill Pay. Ref: PY-8247. Thanks for using Paytm.,banking
221,VERIFY,Your OTP is 482913 for login. Do not share it with anyone. Ur mind urges caution.,otp
222,AXISBK,"Rs. 2,450 debited from your account on 05/11. Balance ₹11,800.32. Nxt upd ASAP.",banking
223,ZOMATO,Your order #Z12345 is out for delivery. ETA 18:30 today. Enjoy ur meal!,promotion
224,SWIGGY,Hi! 15% off on your next order. Use code SWIG20. Valid till 07 Nov.,promotion
225,HDFCBK,OTP 764321 for your card verification. This code will expire in 10 mins. pls use soon.,otp
226,10-digit 9876543210,"Hey yaar, meeting at 6? Drop a msg if u reach.",personal
227,ICICIBK,"Alert: Your balance ₹5,600.75. Last txn ₹1,200 on 04 Nov. mo recheck pls.",banking
228,UBER,"Your ride is confirmed. Driver on the way, ETA 6 mins. Total Rs. 120.",service
229,NOTIF,Your package with tracking #TRK987654321 has been shipped. Expect delivery by 09 Nov.,service
230,Myntra,New in: festive kurti collection. Flat 25% off with code Fest25. Shop now.,promotion
231,OTP-OTPSMS,Your verification code 628731 expires in 3 minutes. Do not share.,otp
232,SBIALERT,"Your SBIN alert: ₹1,250 spent at groceries. Remaining balance ₹9,300.",banking
233,GOIBIBO,Your flight change request is confirmed. New date 13 Dec. E-ticket sent.,service
234,IKNO,Hi! UR order is out for delivery. ETA 22:15. Amount ₹899.00 charged.,promotion
235,9-digit 9998887776,"Bro, party at mine tonight. You in? 😊",personal
236,LOTZ,Limited time offer: Buy 1 Get 1 Free on select items. Use code B1G1NOW.,promotion
237,KOTAKBK,OTP 554433 for your online banking; valid for 5 mins.,otp
238,OLACABS,Ride booked. Car type: sedan. Driver name: Rakesh. ETA 7 mins.,service
239,Amazon,Your order #AMZ9876543 shipped. Freight charged ₹60. Tracking: AMZTRACK987.,promotion
240,PRS,Just checking in—how have you been? Long time no chat.,personal
241,AXISBK,Your OTP is 482719 for AXISBK online transaction. Do not share this code with anyone.,otp
242,HDFCBK,"Dear customer, Rs. 1,249.00 charged at 10:15 AM on your HDFC card. If not you, call us.",banking
243,ZOMATO,Your order #ZMN543210 is confirmed. ETA 25 mins. You’ll get a delivery update soon.,promotion
244,VERIFY,Your OTP for login: 736291. This code expires in 2 minutes.,otp
245,ICICIBK,"Rs. 3,450.75 spent at ICICI on 08:42 PM, 04 Nov. Balance: Rs. 12,300.",banking
246,SWIGGY,Promo: Get 50% off up to Rs. 150 on your next order. Use code SWIGGY50.,promotion
247,10-digit:96201XXXX,"Hey yaar, long time! How you doing?",personal
248,GOIBIBO,"Your flight booking confirmed. PNR AB1234, itinerary updated.",service
249,OTPSMS,Your OTP is 859102 for your payment. Do not share with anyone.,otp
250,MYNTRA,Order #MNTR98765 shipped. Tracking: 1Z999AA10123456784,promotion
251,KOTAKBK,"Alert: Rs. 2,999.00 spent on your KOTAK account on 04/11. If not you, contact us.",banking
252,OLACABS,Your ride is arriving in 5 mins. Driver Sai is on the way.,service
253,UBA,Missed call from 98765 43210. Reply YES to confirm.,spam
254,UBER,Promo: Flat Rs. 100 off on rides today. Use code UBER100.,promotion
255,SBIALERT,Your SBIA statement is ready. Check ₹ balance and recent transactions.,banking
256,9-digit:8123456789,"Bro, movie tonight? Streaks were good, plan?",personal
257,VERIFY,OTP 624981 for sign-in. Expires in 3 minutes.,otp
258,ZOMATO,Delivery delayed by 15 mins. Apologies for the inconvenience. ETA 07:30 PM.,service
259,IXIGO,Your train alert: Departure 18:45 from ADI. Platform 4.,service
260,SPAM,"Congratulations! You’ve won Rs. 50,000. Click here to claim now.",spam
261,AXISBK,"Your OTP is 547821 for axis account verification. Do not share. Rs. 2,500 txn alert on 21:45 IST.",otp
262,HDFCBK,"Rs. 1,200 deducted from HDFC account ending 4321. Bypass if not you, pls call 1800-419-3333.",banking
263,ZOMATO,Welcome! ₹150 off on your next Zomato order. Use code WELCOME15. valid till tonight.,promotion
264,VERIFY,OTP 829101 for your login. Do not share with anyone. msg received from VERIFY.,otp
265,SBIALERT,"Your SBILITE alert: Rs. 3,450 spent at EXOTIQUES on 20/11. Balance: ₹12,800.",banking
266,Personal,"Hey yaar, plan for this weekend? u free on Sat? msg me.",personal
267,KOTAKBK,"Hello! Your monthly statement is ready. Rs. 6,980.0 | 10 transactions | Download via app.",banking
268,PROMO,Flash sale: sarees at 40% off! use code FLAIR40. Ends soon. 🛍️,promotion
269,OTPSMS,Your OTP is 392816 for login. Kya bat hain! Ur OTP expires in 2 mins.,otp
270,UBER,Your ride is confirmed. Driver Aman on way. ETA 5 mins. fare ₹78.50.,service
271,GOIBIBO,"Flight updated: Delhi- Mumbai, 2 seats left. Fare Rs. 6,799.260 incl. taxes.",service
272,MYNTRA,Order #A12345 shipped. Expected delivery by 25 Nov. tracking: MNTR123456,promotion
273,ICICIBK,"Alert: Rs. 12,000 withdrawal blocked. If not you, call 1800-425-3333.",banking
274,URBN,New OTP for your login: 634129. Please do not share this with anyone.,otp
275,SWIGGY,Lunch on us! Rs. 120 off on your order today. code LUNCH120.,promotion
276,10-digit,"Hi, this is a scam attempt. Your account is locked. Reply YES to verify or call us.",spam
277,OLACABS,Cab arrived. Driver Priya 3 mins away. ETA 2 mins. ₹26.,service
278,NHSPAM,"You won a prize! Click link to claim ₹50,000 now. T&C apply.",spam
279,PAYTM,Your wallet top-up of ₹500 is successful. Order #PAY12345.,banking
280,INDIGO,Reminder: your flight check-in opens 24 hours before departure.,service
281,VERIFY,Your OTP is 483920 for verifying login. Do not share it. Rs. 0.00 charged.,otp
282,AXISBK,"Your account balance is ₹12,540.75. Last 4 digits: 1234. Do not share OTP.",banking
283,ZOMATO,Order #ZMT12345 confirmed. ETA 25 mins. Thanks for choosing Zomato!,promotion
284,ICICIBK,"Alert: ₹3,450 debited from A/c ****1234 on 07/11. Ref: TRX7890",banking
285,OTPSMS,OTP: 274992 for your login. Safe practice: don’t share.,otp
286,SWIGGY,Your order #SWG98765 is on its way. ETA 15 mins. Enjoy your meal!,promotion
287,10******91,"Hey yaar, long time no chat! How you doing? Catch up soon.",personal
288,GOIBIBO,Your flight E-Ticket is confirmed. PNR: GY1234. Check-in opens 24h before departure.,service
289,SPAM11,"Congratulations! You won ₹50,000. Click here to claim now. Urgent!!",spam
290,HDFCBK,"₹1,200 charged for passbook upd. If not you, call 1860-425-0000.",banking
291,PAYTM,Promo: Get Rs. 150 cashback on your next wallet recharge. Use code PAYTM150,promotion
292,UBER,Your ride is here. Driver Arjun will reach in 2 mins. Car number KA-01-AB-1234,service
293,INDBANK,"Fraud alert: New device login detected. If not you, reset password now.",banking
294,10******54,"Bro, urgent msg! Your order got canceled by merchant. Refund in 2-3 days.",personal
295,MYNTRA,Winter sale: up to 70% off on boots. Extra 15% off with code WINT15,promotion
296,SBIALERT,"Your SBI UPI payment of ₹2,350.00 to AIRTEL is successful. Ref: UPI98765",banking
297,OTC24,Reminder: Your subscription renews on 08/12. ₹199 charged.,service
298,10******33,"Hey, please reply Y to confirm meeting at 6 PM.",personal
299,AMAZON,Your package has shipped. Tracking #AMZ987654321.,promotion
300,UTRLY,"Unusual activity detected on your account. If this is you, please ignore. If not, reset now.",spam
301,AXISBK,Your OTP is 483920 for your AXISBK online login. Do not share it. ₹ or Rs 0?,otp
302,HDFCBK,"Your balance is ₹12,340.56. Last 4 digits: 1234. ₹ for fee charged. pls check",banking
303,ZOMATO,Order #Z12345 confirmed. ETA 20 min. Pay via wallet or CC. msg received.,promotion
304,VERIFY,"OTP: 672019 for your login on the site. If not you, ignore. Thx.",otp
